"date and time (zulu, UTC)",device id,BME 280,,,DS18B20,TEROS 11/12,,TEROS 11/12,TEROS 12,Battery,raw data
,,humidity (%),air pressure (hPa),temp (°C),temp (°C),vwc (m^3/m^3),temp (°C),perm (raw),econ (µS/cm),U (V),
2026-04-22T17:40:32.930018887Z,igc-2025-06-14-otaa,20.9,"1,027",24.8,22.0,32.4%,21.3,,,,
2026-04-22T17:41:46.157881456Z,igc-2025-06-14-otaa,21.1,"1,027",24.8,22.0,32.4%,21.3,,,,
2026-04-22T17:42:59.415202131Z,igc-2025-06-14-otaa,20.9,"1,027",24.8,22.0,32.3%,21.3,,,,
2026-04-22T17:44:12.728631574Z,igc-2025-06-14-otaa,21.0,"1,027",24.8,21.9,32.2%,21.3,,,,
2026-04-22T17:45:26.046204412Z,igc-2025-06-14-otaa,21.0,"1,027",24.8,21.9,32.1%,21.3,,,,
2026-04-22T17:46:39.430646078Z,igc-2025-06-14-otaa,20.9,"1,027",24.8,21.9,32.0%,21.3,,,,
2026-04-22T17:47:52.851232710Z,igc-2025-06-14-otaa,21.1,"1,027",24.7,21.9,32.0%,21.3,,,,
2026-04-22T17:49:06.350994928Z,igc-2025-06-14-otaa,21.2,"1,027",24.7,21.9,31.9%,21.3,,,,
2026-04-22T17:50:19.822978517Z,igc-2025-06-14-otaa,21.2,"1,027",24.7,21.9,31.8%,21.3,,,,
2026-04-22T17:51:32.723912580Z,igc-2025-06-14-otaa,21.2,"1,027",24.7,21.9,31.8%,21.3,,,,
2026-04-22T17:52:45.357956660Z,igc-2025-06-14-otaa,21.3,"1,027",24.7,21.9,31.7%,21.3,,,,
2026-04-22T17:53:58.036287799Z,igc-2025-06-14-otaa,21.2,"1,027",24.7,21.9,31.6%,21.3,,,,
2026-04-22T17:55:10.739568107Z,igc-2025-06-14-otaa,21.2,"1,027",24.7,21.9,31.6%,21.3,,,,
2026-04-22T17:56:23.509669395Z,igc-2025-06-14-otaa,21.3,"1,027",24.7,21.9,31.5%,21.3,,,,
2026-04-22T17:57:36.277462325Z,igc-2025-06-14-otaa,21.6,"1,027",24.6,21.9,31.4%,21.3,,,,
2026-04-22T17:58:49.141897799Z,igc-2025-06-14-otaa,21.6,"1,027",24.6,21.9,31.4%,21.3,,,,
2026-04-22T18:00:02.026812990Z,igc-2025-06-14-otaa,21.3,"1,027",24.6,21.9,31.3%,21.3,,,,
2026-04-22T18:01:14.956773772Z,igc-2025-06-14-otaa,21.4,"1,027",24.6,21.9,31.2%,21.3,,,,
2026-04-22T18:02:27.926315767Z,igc-2025-06-14-otaa,21.5,"1,027",24.6,21.9,31.2%,21.3,,,,
2026-04-22T18:03:40.911540327Z,igc-2025-06-14-otaa,21.6,"1,027",24.6,21.9,31.1%,21.3,,,,
2026-04-22T18:04:53.938502830Z,igc-2025-06-14-otaa,21.6,"1,027",24.6,21.9,31.1%,21.3,,,,
2026-04-22T18:06:06.988606809Z,igc-2025-06-14-otaa,21.6,"1,027",24.6,21.9,31.0%,21.3,,,,
2026-04-22T18:07:20.125476618Z,igc-2025-06-14-otaa,21.6,"1,028",24.6,21.9,31.0%,21.3,,,,
2026-04-22T18:08:33.208490858Z,igc-2025-06-14-otaa,21.7,"1,028",24.6,21.9,30.9%,21.3,,,,
2026-04-22T18:09:46.432200804Z,igc-2025-06-14-otaa,21.8,"1,028",24.6,21.9,30.8%,21.3,,,,
2026-04-22T18:10:59.690126728Z,igc-2025-06-14-otaa,21.9,"1,028",24.5,21.9,30.8%,21.3,,,,
2026-04-22T18:12:12.949261875Z,igc-2025-06-14-otaa,21.9,"1,028",24.5,21.9,30.7%,21.3,,,,
2026-04-22T18:13:26.287868331Z,igc-2025-06-14-otaa,21.9,"1,028",24.5,21.9,30.7%,21.3,,,,
2026-04-22T18:14:39.674488976Z,igc-2025-06-14-otaa,21.7,"1,028",24.5,21.9,30.6%,21.3,,,,
2026-04-22T18:15:53.043680151Z,igc-2025-06-14-otaa,21.5,"1,028",24.5,21.9,30.6%,21.3,,,,
2026-04-22T18:17:06.506727763Z,igc-2025-06-14-otaa,21.9,"1,028",24.5,21.9,30.5%,21.3,,,,
2026-04-22T18:18:19.996542538Z,igc-2025-06-14-otaa,21.8,"1,028",24.5,21.9,30.5%,21.3,,,,
2026-04-22T18:19:32.844313384Z,igc-2025-06-14-otaa,21.9,"1,028",24.5,21.9,30.4%,21.3,,,,
2026-04-22T18:20:45.512293650Z,igc-2025-06-14-otaa,21.9,"1,028",24.5,21.9,30.4%,21.3,,,,
2026-04-22T18:21:58.160721062Z,igc-2025-06-14-otaa,21.9,"1,028",24.5,21.9,30.3%,21.3,,,,
2026-04-22T18:23:10.897966377Z,igc-2025-06-14-otaa,22.1,"1,028",24.5,21.9,30.3%,21.3,,,,
2026-04-22T18:24:23.644271982Z,igc-2025-06-14-otaa,22.1,"1,028",24.5,21.9,30.2%,21.3,,,,
2026-04-22T18:25:36.446927889Z,igc-2025-06-14-otaa,22.1,"1,028",24.4,21.9,30.2%,21.3,,,,
2026-04-22T18:26:49.241381297Z,igc-2025-06-14-otaa,22.1,"1,028",24.4,21.9,30.1%,21.3,,,,
2026-04-22T18:28:02.118710174Z,igc-2025-06-14-otaa,22.3,"1,028",24.4,21.9,30.1%,21.3,,,,
