"date and time (zulu, UTC)",device id,BME 280,,,DS18B20,TEROS 11/12,,TEROS 11/12,TEROS 12,Battery,raw data
,,humidity (%),air pressure (hPa),temp (°C),temp (°C),vwc (m^3/m^3),temp (°C),perm (raw),econ (µS/cm),U (V),
2026-05-27T22:25:10.615590444Z,igc-2025-06-19-otaa,45.5,"1,027",24.0,21.3,28.7%,22.8,2533.47,108,9.2,"{""bme_hum"":45.459999084472656,""bme_pres"":1027.27001953125,""bme_temp"":23.979999542236328,""ds_temp"":21.25,""soil_econ"":108,""soil_perm"":2533.469970703125,""soil_temp"":22.799999237060547,""vr_voltage"":9.15114688873291}"
2026-05-27T22:26:29.114387716Z,igc-2025-06-19-otaa,45.5,"1,027",23.9,21.3,,,,,9.1,"{""bme_hum"":45.470001220703125,""bme_pres"":1027.4100341796875,""bme_temp"":23.920000076293945,""ds_temp"":21.25,""vr_voltage"":9.148848533630371}"
2026-05-27T22:27:47.087154392Z,igc-2025-06-19-otaa,45.4,"1,027",23.9,21.3,,,,,9.1,"{""bme_hum"":45.400001525878906,""bme_pres"":1027.4599609375,""bme_temp"":23.8700008392334,""ds_temp"":21.25,""vr_voltage"":9.148848533630371}"
2026-05-27T22:29:06.086808425Z,igc-2025-06-19-otaa,45.5,"1,028",23.8,21.2,28.7%,22.6,2532.92,109,9.1,"{""bme_hum"":45.45000076293945,""bme_pres"":1027.52001953125,""bme_temp"":23.81999969482422,""ds_temp"":21.1875,""soil_econ"":109,""soil_perm"":2532.919921875,""soil_temp"":22.600000381469727,""vr_voltage"":9.146551132202148}"
2026-05-27T22:30:25.227516161Z,igc-2025-06-19-otaa,45.4,"1,028",23.8,21.3,28.6%,22.5,2531.33,109,9.2,"{""bme_hum"":45.439998626708984,""bme_pres"":1027.6300048828125,""bme_temp"":23.760000228881836,""ds_temp"":21.25,""soil_econ"":109,""soil_perm"":2531.330078125,""soil_temp"":22.5,""vr_voltage"":9.15114688873291}"
2026-05-27T22:31:39.354585941Z,igc-2025-06-19-otaa,45.3,"1,028",23.7,21.2,28.6%,22.4,2531.44,109,9.2,"{""bme_hum"":45.349998474121094,""bme_pres"":1027.739990234375,""bme_temp"":23.709999084472656,""ds_temp"":21.1875,""soil_econ"":109,""soil_perm"":2531.43994140625,""soil_temp"":22.399999618530273,""vr_voltage"":9.158615112304688}"
2026-05-27T22:32:53.547334402Z,igc-2025-06-19-otaa,45.5,"1,028",23.6,21.2,28.6%,22.4,2531.60,109,9.2,"{""bme_hum"":45.4900016784668,""bme_pres"":1027.8199462890625,""bme_temp"":23.639999389648438,""ds_temp"":21.1875,""soil_econ"":109,""soil_perm"":2531.60009765625,""soil_temp"":22.399999618530273,""vr_voltage"":9.153444290161133}"
2026-05-27T22:34:12.807441469Z,igc-2025-06-19-otaa,45.3,"1,028",23.6,21.2,28.7%,22.3,2532.51,109,9.1,"{""bme_hum"":45.34000015258789,""bme_pres"":1027.9300537109375,""bme_temp"":23.59000015258789,""ds_temp"":21.1875,""soil_econ"":109,""soil_perm"":2532.510009765625,""soil_temp"":22.299999237060547,""vr_voltage"":9.14425277709961}"
2026-05-27T22:35:27.050231209Z,igc-2025-06-19-otaa,45.5,"1,028",23.5,21.2,28.6%,22.3,2530.02,109,9.2,"{""bme_hum"":45.459999084472656,""bme_pres"":1028.0400390625,""bme_temp"":23.530000686645508,""ds_temp"":21.1875,""soil_econ"":109,""soil_perm"":2530.02001953125,""soil_temp"":22.299999237060547,""vr_voltage"":9.152870178222656}"
2026-05-27T22:36:41.377679211Z,igc-2025-06-19-otaa,45.7,"1,028",23.5,21.2,28.7%,22.3,2532.08,110,9.2,"{""bme_hum"":45.650001525878906,""bme_pres"":1028.1199951171875,""bme_temp"":23.479999542236328,""ds_temp"":21.1875,""soil_econ"":110,""soil_perm"":2532.080078125,""soil_temp"":22.299999237060547,""vr_voltage"":9.153444290161133}"
2026-05-27T22:37:55.708039075Z,igc-2025-06-19-otaa,45.7,"1,028",23.4,21.2,28.7%,22.2,2532.51,110,9.2,"{""bme_hum"":45.65999984741211,""bme_pres"":1028.1700439453125,""bme_temp"":23.40999984741211,""ds_temp"":21.1875,""soil_econ"":110,""soil_perm"":2532.510009765625,""soil_temp"":22.200000762939453,""vr_voltage"":9.150571823120117}"
2026-05-27T22:39:10.094377090Z,igc-2025-06-19-otaa,45.8,"1,028",23.4,21.2,28.6%,22.2,2529.73,110,9.1,"{""bme_hum"":45.779998779296875,""bme_pres"":1028.31005859375,""bme_temp"":23.3700008392334,""ds_temp"":21.1875,""soil_econ"":110,""soil_perm"":2529.72998046875,""soil_temp"":22.200000762939453,""vr_voltage"":9.143677711486816}"
2026-05-27T22:40:24.488497220Z,igc-2025-06-19-otaa,45.8,"1,028",23.3,21.2,28.6%,22.2,2530.55,110,9.1,"{""bme_hum"":45.84000015258789,""bme_pres"":1028.3599853515625,""bme_temp"":23.309999465942383,""ds_temp"":21.1875,""soil_econ"":110,""soil_perm"":2530.550048828125,""soil_temp"":22.200000762939453,""vr_voltage"":9.142529487609863}"
2026-05-27T22:41:38.947033503Z,igc-2025-06-19-otaa,45.7,"1,029",23.3,21.2,28.7%,22.1,2532.52,110,9.1,"{""bme_hum"":45.72999954223633,""bme_pres"":1028.5,""bme_temp"":23.260000228881836,""ds_temp"":21.1875,""soil_econ"":110,""soil_perm"":2532.52001953125,""soil_temp"":22.100000381469727,""vr_voltage"":9.145401954650879}"
2026-05-27T22:42:53.573752549Z,igc-2025-06-19-otaa,46.0,"1,029",23.2,21.2,28.6%,22.1,2530.95,110,9.1,"{""bme_hum"":45.95000076293945,""bme_pres"":1028.5,""bme_temp"":23.219999313354492,""ds_temp"":21.1875,""soil_econ"":110,""soil_perm"":2530.949951171875,""soil_temp"":22.100000381469727,""vr_voltage"":9.144826889038086}"
2026-05-27T22:44:08.127220789Z,igc-2025-06-19-otaa,46.1,"1,029",23.2,21.2,28.7%,22.1,2532.22,111,9.1,"{""bme_hum"":46.08000183105469,""bme_pres"":1028.6099853515625,""bme_temp"":23.15999984741211,""ds_temp"":21.1875,""soil_econ"":111,""soil_perm"":2532.219970703125,""soil_temp"":22.100000381469727,""vr_voltage"":9.14310359954834}"
